_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
1506,17-12-1955,"Hollywood, South Carolina",Riddle Airlines,Curtiss C-46A,2,2,0
1507,19-12-1955,"Sao Paulo, Brazil",Cruzeiro Do Sud,Douglas DC-3,26,26,0
1508,21-12-1955,"Jacksonville, Florida",Eastern Air Lines,Lockheed 749C-79-12 Constellation,17,17,0
1509,12-01-1956,"Frederick Henry Bay,  Australia",Ansett ANA,Douglas C-47,1,2,0
1510,17-01-1956,"Oreway, Newfoundland, Canada",Quebecair,Douglas DC-3,4,18,0
1511,18-01-1956,"Torysa, Czechoslovakia",Ceskoslovenske Aerolinie,Douglas DC-3,22,26,0
1512,28-01-1956,"Lyon, France",Air France,Douglas C-47,3,3,0
1513,13-02-1956,"Frobisher Bay, Canada",Maritime Central Airways,Bristol 170 Freighter 31,2,2,0
1514,14-02-1956,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,Douglas C-47-DL,2,3,0
1515,17-02-1956,"Near Niles, California",Military - U.S. Marine Corps,Douglas R5D2,40,40,0
1516,18-02-1956,"Near Zurrieg, Malta",Scottish Airlines,Avro 685 York C-1,50,50,0
1517,20-02-1956,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),Douglas DC-6B,52,64,0
1518,24-02-1956,"Near Aleppo, Syria",Syrian Airways,Douglas DC-3,19,19,0
1519,25-02-1956,"Jalkot, Pakistan",Pakistan International Airlines,Douglas C-47B,3,3,0
1520,21-03-1956,"Tezpur, India",Indian Airlines,Douglas DC-3,2,21,0
1521,28-03-1956,"Largs, England",Starways,Douglas C-47B,1,3,0
1522,31-03-1956,"Indapur, India",National Air Operators,Douglas C-47A,3,3,0
1523,31-03-1956,"Korat ,Thailand",Military - Royal Thai Air Force,Douglas C-47A,19,19,0
1524,01-04-1956,"Pittsburgh, Pennsylvania",Trans World Airlines,Martin 404,22,36,0
1525,02-04-1956,"Seattle, Washington",Northwest Orient Airlines,Boeing 377 Stratocruiser 10-30,5,38,0
1526,09-04-1956,"Skilak Lake, Alaska",Cordova Airlines,Aero Commander  520,6,6,0
1527,18-04-1956,"Parintins, Brazil",Panair do Brasil,Consolidated PBY-5A Catalina,3,12,0
1528,30-04-1956,"London, England",Scottish Airlines,Avro 685 York C-1,2,54,0
1529,15-05-1956,"Orleans, Ontario, Canada",Military - Royal Canadian Air Force,CF-100 Mark V,2,2,13
1530,15-05-1956,"Kathmandu, Nepal",Indian Airlines,Douglas DC-3,14,31,1
1531,24-05-1956,"Guatemala City, Guatemala",Aviateca,Douglas C-47-DL (DC-3),30,31,0
1532,13-06-1956,Over North Carolina,Piedmont,Douglas DC-3,1,NA,0
1533,20-06-1956,"Asbury Park, New Jersey",Linea Aeropostal Venezolana,Lockheed 1049E-55 Super Constellation,74,74,0
1534,24-06-1956,"Kano, Nigeria",British Overseas Airways,Canadair C-4 Argonaut,32,45,0
1535,30-06-1956,"Grand Canyon, Arizona",United Air Lines / Trans World Airlines,Douglas DC-7 / Lockheed S Constellation,128,128,0
1536,09-07-1956,"Near Flat Rock, Michigan",Trans Canada Air Lines,Vickers Viscount,1,35,0
1537,13-07-1956,"Near Brows Mills, New Jersey",Military - U.S. Air Force,Douglas C-118A,46,66,0
1538,15-07-1956,"Shannon, Ireland",Swissair,Convair CV-440-11,4,4,0
1539,16-07-1956,"Rio Cuarto, Argentina",Aerolineas Argentinas,Douglas DC-3,18,18,0
1540,08-08-1956,"Thazi, Burma",Union of Burma Airways,Douglas DC-3,12,22,0
1541,29-08-1956,"Cold Bay, Alaska",Canadian Pacific Air Lines,Douglas DC-6B,15,22,0
1542,09-09-1956,"Bartlesville, Oklahoma",Continental Airlines,Douglas DC-3 / Cessna 170B,0,18,0
1543,09-09-1956,"Amman, Jordan",Jordan International Airlines,Curtiss C-46A-45-CU,1,57,0
1544,02-10-1956,"Near Nome, Alaska",Alaska Airlines,Stinson AT-19,5,5,0
1545,10-10-1956,"Off Land's End, England",Military - U.S. Navy,Douglas C188-B,59,59,0
1546,16-10-1956,Over the Pacific Ocean,Pan American World Airways,Boeing  377 Stratocruiser,0,31,0
1547,19-10-1956,"Agartala, India",Indian Airlines,Douglas DC-3,3,3,0
1548,28-10-1956,Over the Mediterranean Sea,Military - Egyptian Air Force,Curtiss C-46,23,23,0
1549,05-11-1956,"Blackbushe, England",Britavia,Handley Page HP-1 Hermes,7,80,0
1550,07-11-1956,"Hommelfjell, Norway",Braathens,de Havilland DH-114 Heron 2B,2,12,0
1551,15-11-1956,"Puerto Somoza, Nicaragua",Aerovias Guest,Douglas C-54A-10-DC,25,25,0
1552,17-11-1956,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,Douglas DC-3,36,36,0
1553,24-11-1956,"Paris, France",Linee Aeree Italiane,Douglas DC-6B,34,35,8
1554,24-11-1956,"Near Eglisau, Switzerland",Ceskoslovenske Aerolinie,Ilyushin IL-12B,23,23,0
1555,27-11-1956,"Caracas, Venezuela",Linea Aeropostal Venezolana,Lockheed 749-79-34 Constellation,25,25,0
1556,08-12-1956,"Caqueta, Colombia",AIDA,Consolidated PBY-5A Catalina,14,16,0
1557,09-12-1956,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,Canadair DC-4M-2 Northstar,62,62,0
1558,12-12-1956,"Dannemois, France",Air France,Vickers 708 Viscount,5,5,0
1559,22-12-1956,"Mt. Giner, Italy",Linee Aeree Italiane,Douglas DC-3,21,21,0
1560,22-12-1956,"Grub, Germany",JAT Yugoslav Airlines,Convair CV-340-58,3,30,0
1561,30-12-1956,"Dhahran, Saudi Arabia",Military - U.S. Air Force,Lockheed C-121C Super Constellation,15,41,0
1562,06-01-1957,"Owasso, Oklahoma",American Airlines,Convair CV-240-0,1,10,0
1563,11-01-1957,"Near Buenos Aires, Argentina",Lineas Aereas del Estado,Vickers 615 Viking 1B,17,33,1
1564,23-01-1957,"Ometepe Island, Nicaragua",Lanica,Douglas DC-3,16,16,0
1565,29-01-1957,"Paris, France",Air France,SNCASE SE.2010 Armagnac,2,70,0
1566,31-01-1957,"Near Sunland, California",Douglas Aircraft,Douglas DC-7B / U.S. Air Force F-89J,5,6,3
1567,01-02-1957,"New York, New York",Northeast Airlines,Douglas DC-6A,21,101,0
1568,22-02-1957,"Kimpo Air Base, South Korea",Military - U.S. Air Force,Douglas C-124C,22,159,0
1569,02-03-1957,"Blyn, Washington",Alaska Airlines,Douglas C-54B,5,5,0
1570,04-03-1957,"Near Miho AB, Japan",Japanese Air Force,Curtiss C-46D-15--CU,17,17,0
1571,05-03-1957,"Drayton, England",Military -Royal Air Force,Blackburn Beverley C Mark 1,18,22,2
1572,09-03-1957,"El Soldado, Colombia",AVIANCA,Douglas DC-3,15,15,0
1573,14-03-1957,"Manchester, England",British European Airways,Vickers Viscount 701,20,20,2
1574,17-03-1957,"Near Cebu, Philippines",Military - Philippine Air Force,Douglas C-47-A-75-DL Skytrain,24,25,0
1575,18-03-1957,"Near Sayari, Bolivia",Lloyd Aereo Boliviano,Douglas DC-3,19,19,0
1576,22-03-1957,Over the North Pacific Ocean,Military - U.S. Air Force,Boeing C-97C,67,67,0
1577,07-04-1957,"Bage, Brazil",Varig,Curtiss C-46A-45-CU,40,40,0
1578,08-04-1957,"Algiers, Algeria",Air France,Douglas DC-3,34,34,0
1579,10-04-1957,"Anchieta Island, Brazil",REAL,Douglas DC-3,26,30,0
1580,15-04-1957,"Merida, Mexico",Transportes A????reos Mexicanos,Consolidated B-24J,3,3,1
1581,17-04-1957,"Near El Quweira, Jordan",Military -Royal Air Force,Vickers Valetta C-Mk.1,24,24,0
1582,20-04-1957,"Jirkouk, Iraq",Air France,Lockheed Super Constellation,1,NA,0
1583,01-05-1957,"Blackbushe, Hants, England",Eagle Aviation,Vickers Viking 1B,34,35,0
1584,05-05-1957,"Santoshpur, India",Indian Airlines,Douglas C-47A,1,3,0
1585,09-05-1957,"Barajas, Madrid, Spain",Aviaco,Bristol 170 Freighter,37,37,0
1586,13-05-1957,"Narsarressuak, Greenland",U.S. Overseas Airways,Douglas DC-4,2,3,0
1587,13-05-1957,"New Delhi, India",Indian Airlines,Douglas DC-3,2,2,3
1588,13-05-1957,"Near San Carlos de Bariloche, Argentina",Lineas Aereas del Estado,Vickers 615 Viking 1B,16,16,0
1589,14-06-1957,"Near Moscow, Russia",LOT Polish Airlines,Ilyushin P-14,9,13,0
1590,18-06-1957,"Bodensee, Switzerland",Swissair,Douglas C-47B,9,9,0
1591,22-06-1957,"Near Clarksburg, Maryland",Capital Airlines,Douglas C-47A,3,3,0
