_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
4601,16-02-1996,"El Zapotal, Guatemala",AVCOM,de Havilland Canada DHC-6 Twin Otter 300,2,2,0
4602,19-02-1996,"Salzburg, Austria",Private Wings,Cessna 550 Citation,10,10,0
4603,26-02-1996,"Near Jabal Awliya, Sudan",Military - Sudanese Air Force,Lockheed C-130H,91,91,0
4604,27-02-1996,"Near Lukapa, Angola",Aero Tropical,Antonov 12BP,8,8,0
4605,29-02-1996,"Arequipa, Peru",Compania de Aviacion Faucett SA (Peru),Boeing B-737-222,123,123,0
4606,02-03-1996,"Sao Paulo, Brazil",Madrid Taxi A????reo - Charter,Gates Learjet 25D,9,9,0
4607,09-03-1996,"Near Mesones Muro, Peru",Military - Peruvian Army Aviation,Mil Mi-17,23,23,0
4608,12-03-1996,"Karabogazgol Bay, Turkmenistan",Akhal Air,Mil Mi-8T (helicopter),12,12,0
4609,13-03-1996,"Near Punto Fijo, Venezuela",Avia Air Aruba,Cessna 402,8,8,0
4610,17-03-1996,"Key West, Florida",Key West Sea Plane Service - Air Taxi,Cessna U206G,5,5,0
4611,03-04-1996,"Near Dubrovnik, Croatia",Military - U.S. Air Force,Boeing B-737-T43,35,35,0
4612,05-04-1996,"Near Petropavlovsk, Russia",Krasnoyarskie Avialinii,Ilyushin IL-76TD,20,20,0
4613,05-04-1996,"Off Matsu Island, Taiwan",Formosa Airlines,Dornier 228-212,6,17,0
4614,11-04-1996,"Cheyenne, Wyoming",Private,Cessna 177B,3,3,0
4615,03-05-1996,"Near Haj Yousif, Sudan",Federal Airlines,Antonov AN-24,53,53,0
4616,09-05-1996,"Near Terrace, British Columbia, Canada",Buffalo Narrows Airways,de Havilland Canada DHC-3 Otter,2,2,0
4617,10-05-1996,"Otaez, Mexico",Aeroservicios Empresariales de Durango,de Havilland Canada DHC-6 Twin Otter 200,16,19,0
4618,11-05-1996,"Everglades, Miami, Florida",ValuJet,McDonnell Douglas DC-9-32,110,110,0
4619,11-05-1996,"Oumba, Papua New Guinea",Milne Bay Air,Britten Norman BN-2A-20 Trislander,1,10,0
4620,19-05-1996,"Griesta, United Kingdom",Loganair,Britten-Norman BN-2A-26 Islander,3,3,0
4621,06-06-1996,"Kinshasa, Democratic Republic Congo",Hoseba,Ilyushin 76MD,10,10,0
4622,09-06-1996,"Rasht, Iran",Iran Air,Boeing 727-286,7,7,0
4623,12-06-1996,"Near Rollingstone, Queensland  Australia",Military - Australian Army Aviation,Sikorsky S-70 / Sikorsky S-70,18,28,0
4624,13-06-1996,"Fukuoka, Japan",Garuda Indonesia Airlines,McDonnell Douglas DC-10-30,3,275,0
4625,21-06-1996,"Shanghai, China",China Flying Dragon Aviation (Feilong Airlines),Harbin Yunshuji Y-12-II,2,12,0
4626,06-07-1996,"Pensacola, Florida",Delta Air Lines,McDonnell Douglas MD-88,2,142,0
4627,09-07-1996,"Papua, New Guinea",Milne Bay Air,de Havilland Canada DHC-6 Twin Otter 300,20,20,0
4628,11-07-1996,"Near Kanda, India",Archana Airlines,Let 410,9,9,0
4629,15-07-1996,"Near Eindhoven, The Netherlands",Military - Belgian Air Force,Lockheed C-130H,34,41,0
4630,17-07-1996,"Near Playa del Carmen, Mexico",Aerolatino (Aerocaribe),de Havilland Canada DHC-6 Twin Otter 300,1,18,0
4631,17-07-1996,"Off East Moriches, New York",Trans World Airlines,Boeing B-747-131,230,230,0
4632,20-07-1996,"Russian Mission, Alaska",Northern Air Cargo,Douglas DC-6A,4,4,0
4633,24-07-1996,"Near Mergui, Manmar",Myanmar Airways,Fokker F-27 Friendship 600,8,49,0
4634,12-08-1996,"Markham Bay, Canada",First Air,de Havilland Canada DHC-6 Twin Otter 300,2,2,0
4635,14-08-1996,"Near Bronson Creek, British Columbia, Canada",Air North,Douglas DC-4,1,3,0
4636,17-08-1996,"Near Jackson Hole, Wyoming",Military - U.S. Air Force,Lockheed C-130H Hercules,9,9,0
4637,18-08-1996,"Near Alliford Bay, British Columbia, Canada2",Harbour Air,de Havilland Canada DHC-3 Turbo Otter,3,3,0
4638,19-08-1996,"Belgrade, Yugosalvia",Spair Air Transport,Ilyushin IL-76T,12,12,0
4639,29-08-1996,"Spitsbergen, Norway",Vnokovo Airlines,Tupolev TU-154M,141,141,0
4640,13-09-1996,"Joinville, Brazil",Helisul Taxi A????reo,Embraer EMB-110 Bandeirante,2,2,0
4641,23-09-1996,"Anchorage, Alaska",Air Taxi - Stearns Air Alaska,Cessna 206G,3,5,0
4642,25-09-1996,"Waddenzee, Netherlands",Dutch Dakota Association,Douglas DC-3C,32,32,0
4643,02-10-1996,"Off Pasamayo, Peru",Aeroperu,Boeing B-757-200,70,70,0
4644,03-10-1996,"Kahemba, Congo",Malu Aviation,de Havilland Canada DHC-6 Twin Otter 200,6,21,0
4645,06-10-1996,"Lukapa, Angola",Savanair,Antonov 12B,6,19,0
4646,08-10-1996,"San Francesco al Campo, Italy",Aeroflot,Antonov An-124,2,23,2
4647,13-10-1996,"Ketchikan, Alaska",Air Taxi - Seaside Air Service,de Havilland DHC-2,3,3,0
4648,20-10-1996,"Eel River Crossing, New Brunswick, Canada",Telford Aviation,Piper PA-31-350 Navajo Chieftain,8,8,0
4649,22-10-1996,"Manta, Ecuador",Million Air,Boeing B-707-323C,4,4,30
4650,26-10-1996,"Khanty, Russia",Tyumen Aviatrans,Yakovlev YAK-40,5,34,0
4651,31-10-1996,"Sao Paolo, Brazil",TAM (Brazil),Fokker 100,95,95,3
4652,01-11-1996,"Near Tikal, Guatemala",Transported Areos Profesionales - TAPSA,Embraer 110P1 Bandeirante,16,16,0
4653,07-11-1996,"Lagos, Nigeria",Aviation Development Corporation,Boeing B-727-231,143,143,0
4654,07-11-1996,"Aubusson, France",Jetcom S.A.,Cessna 421C Golden Eagle,8,8,0
4655,12-11-1996,"Near Charkhi Dadri, India",Saudi Arabian Airlines / Kazakhstan Airlines,Boeing B-747-168B / Ilyushin IL-76TD,349,349,0
4656,13-11-1996,"Ngong, Kenya",Kismayo Airlines,Piper PA-31-350 Navajo,8,8,0
4657,14-11-1996,"Bolcha????a Pyssa, Russia",Komi Avia,Antonov AN-2,14,15,0
4658,19-11-1996,"Quincy, Illinois",United Express  / Private,Beechcraft 1900-C / Beech King Air A90,14,14,0
4659,22-11-1996,"Off Cape Mendocino, CA",Military - U.S. Air Force,Lockheed HC-130P Hercules,10,11,0
4660,23-11-1996,"Off Moroni, Comoros",Ethiopian Airlines,Boeing B-767-200ER,127,175,0
4661,26-11-1996,"Bethel, Arkansas",Arctic Transportation Services,Cessna 208B Caravan I,1,1,0
4662,27-11-1996,"Abakan, Siberia, Russia",Military - Russian Air Force,Ilyushin IL-76MD,23,23,0
4663,30-11-1996,"Medellin, Colombia",ACES Colombia,de Havilland Canada DHC-6 Twin Otter 300,14,15,0
4664,07-12-1996,"Banjarmasin, Indonesia",Dirgantara Air Services,CASA 212 Aviocar 100,16,17,2
4665,09-12-1996,"Boise, Idaho",Emery Worldwide,Douglas C-47A,2,2,0
4666,17-12-1996,"Tver, Russia",Military - Russian Air Force,Antonov AN-12,18,18,0
4667,21-12-1996,"Rio Negro, Colombia",SELVA,Antonov An-32B,4,4,0
4668,22-12-1996,"Narrows, Virginia",Airborne Express,McDonnell Douglas DC-8-63F,6,6,0
4669,24-12-1996,"Dorchester, New Hampshire",Aircraft Charter Group Inc,Learjet 35A,2,2,0
4670,24-12-1996,"Near Nellore, India",Military - Indian Air Force,Hindustan Aeronautics 748-2,22,22,0
4671,02-01-1997,"Edenton, North Carolina",Tar Heel Aviation,Cessna 208B Grand Caravan,2,2,0
4672,07-01-1997,"Near Moamoa, Samoa",Polynesian Airlines,de Havilland Canada DHC-6 Twin Otter 300,3,5,0
4673,09-01-1997,"Near Monroe, Michigan",Comair,Embraer 120RT Brasilia,29,29,0
4674,29-01-1997,"Sparrevohn, Alaska",Southcentral Air,de Havilland Canada DHC-4A Caribou,1,2,0
4675,31-01-1997,"Yola, Nigeria",Skypower Express Airways,Embraer 110P1A Bandeirante,5,16,0
4676,01-02-1997,"Tambacoumba, Senegal",Air Senegal,Hawker Siddeley HS-748-353 Srs.2a,25,52,0
4677,02-02-1997,"Near Quiangala, Angola",Force Area Populaire de Angola,CASA 212 Aviocar 200,37,37,0
4678,04-02-1997,Northern Israel,Military - Israel Air Force /Military -  Israel Air Force,Sikorsky CH53D / Sikorsky CH53D,73,73,0
4679,14-02-1997,"Carajas, Brazil",Varig,Boeing B-737-2C3,1,52,0
4680,19-02-1997,"Guatemala City, Guatemala",Transpolar,IAI 1124 Westwind,5,5,0
4681,04-03-1997,"Lake Simcoe, Ontario, Canada",Air Georgian,Cessna 208B Super Cargomaster,1,1,0
4682,07-03-1997,"Medellin, Colombia",Air Pereira,Cessna 500 Citation I,4,4,0
4683,12-03-1997,"Lucapa, Angola",ALADA,Antonov AN-12B,16,16,0
4684,13-03-1997,"Near Mashhad, Iran",Military - Iranian Air Force,Lockheed C-130HF,88,88,0
4685,18-03-1997,"Cherkessk, Russia",Stavropol Airlines,Antonov AN-24RV,50,50,0
4686,01-04-1997,"Tegucigalpa, Honduras",Military - U.S. Air Force,Lockheed C-130H Hercules,3,10,0
4687,04-04-1997,"Griffin, Georgia",Custom Air Service,Aviation Traders ATL-98 Carvair,2,2,0
4688,10-04-1997,"Near Wainwright, Alaska",Hageland Aviation Services,Cessna 208B Caravan I,5,5,0
4689,14-04-1997,"Brazzaville, Democratic Republic Congo",TAAG Angola Airlines,Fokker F-27 Friendship 600,3,7,0
4690,15-04-1997,"Gyandzha, Azerbaijan",Azerbaijan Airlines,Yakovlev 40,6,6,0
4691,16-04-1997,"Near Sorei, Niger",Military - Niger Air Force,Lockheed C-130H Hercules,14,14,0
4692,19-04-1997,"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,British Aerospace ATP,15,53,0
4693,23-04-1997,"Near Konduz, Afghanistan",Military - Afghan Republican Air Force,Antonov AN-26,36,36,0
4694,08-05-1997,"Huangtian, China",China Southern Airlines,Boeing B-737-31B,35,74,0
4695,06-06-1997,"Near Irumu, Congo",Bazair,Vickers Viscount 781D,27,27,0
4696,10-06-1997,"Mandalgobi, Mongolia",MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,7,12,0
4697,03-07-1997,"Madh Island, India",Elbee Airlines,Fokker F-27 Friendship 200,2,2,0
4698,05-07-1997,"Skwentna, Alaska",Air Taxi,de Havilland DHC-2,4,5,0
4699,06-07-1997,"Near Saravena, Colombia",Military - Colombian Army,Mil Mi-17 (helicopter),25,29,0
4700,09-07-1997,"Suzano, Brazil",TAM (Brazil),Fokker 100,1,60,0
4701,11-07-1997,"Off Santiago de Cuba, Cuba",Cubana de Aviacion,Antonov AN-24,44,44,0
4702,12-07-1997,"Skagway, Alaska",Haines Airways - Air Taxi,Piper PA-32,4,6,0
4703,17-07-1997,"Bandung, Indonesia",Sempati Air,Fokker F-27 Friendship 600,30,50,0
4704,18-07-1997,"Goroka,  New Guinea",Goroka Air Services,de Havilland Canada DHC-6 Twin Otter 300,2,4,0
4705,21-07-1997,"Near Ranong, Thailand",Singapore Airlines,Learjet 31,2,2,0
4706,29-07-1997,"Calabar , Nigeria",ADC Airlines,BAC One-Eleven 203AE,1,55,0
4707,30-07-1997,"Florence, Italy",Air Littoral,Aerospatiale ATR-42-512,1,17,0
4708,06-08-1997,"Agana, Guam",Korean Airlines,Boeing B-747-300,228,254,0
4709,07-08-1997,"Miami, Florida",Fine Air,McDonnell Douglas DC-8-61F,4,4,0
4710,10-08-1997,"Matsu Island, Taiwan",Formosa Airlines,Dornier DO-228-212,16,16,0
4711,10-08-1997,"100 miles SW of Kuujjuaq, Quebec, Canada",Private,Cessna 180K,2,2,0
4712,14-08-1997,"Tindal, NT, Australia",Air taxi,Cessna 210,5,5,0
4713,15-08-1997,"Crici????ma, Brazil",Air taxi - TAM,Cessna 550 Citation II,2,2,0
4714,29-08-1997,"Puerto Inirida, Venezuela",SATENA,Pilatus PC-6 Turbo Porter / Cessna 206,12,12,0
4715,03-09-1997,"Phnom Penh, Cambodia",Vietnam Airlines,Tupolev TU-134,65,66,0
4716,06-09-1997,"Near Miri, Malaysia",Borneo Airways,Dornier 228-212,10,10,0
4717,12-09-1997,"Near Uvira, Zaire",TMK Air Commuter,de Havilland Canada DHC-6 Twin Otter 300,22,22,0
4718,13-09-1997,"Off Namibia, Africa",Military - Luftwaffe / Military - USAF,Tupolev TU-154M / C-141 Starlifter,33,33,0
4719,26-09-1997,"Buah Nabar, Indonesia",Garuda Indonesia Airlines,Airbus A300-B4-200,234,234,0
4720,08-10-1997,"Near Montrose, Colorado",Scenic Airlines,Cessna 208B Caravan I,9,9,0
4721,09-10-1997,"Banjul, Gambia",Naysa Aerotaxis,Beech Super King Air 200,8,9,0
4722,10-10-1997,"Nuevo Berlin, Uruguay",Austral Lineas Aeras (Argentina),McDonnell Douglas DC-9-32,74,74,0
4723,10-10-1997,"Taipei, Taiwan",Military - Republic of China Air Force,Lockheed C-130H Hercules,5,5,0
4724,12-10-1997,"Monterey Bay, near Pacific Grove, California",Private,Rutan Long EZ (experimental aircraft),1,1,0
4725,29-10-1997,"Jalal-Abad, Afghanistan",Ariana Afghan Airlines,Yakovlev YAK-40,2,26,0
4726,30-10-1997,"Near La Roche, Alberta, Canada",?,Cessna 206 Seneca,3,6,0
4727,08-11-1997,"Near Barrow, Alaska",Hageland Aviation Services,Cessna 208B Caravan I,8,8,0
4728,05-12-1997,"Irkutsk-2, Russia",Military - Russian Air Force,Antonov AN-124-100,23,23,44
4729,09-12-1997,"Little Grand Rapids, Canada",Sowind Air,Embraer 110P1 Bandeirante,4,17,0
4730,13-12-1997,"La Veriente, Bolivia",STAP,Swearingen SA-226T Metro II,10,19,0
4731,15-12-1997,"Sharjah, United Arab Emirates",Tajikistan Airlines,Tupolev TU-154,85,86,0
4732,16-12-1997,"Near Mackenzie, British Colombia, Canada",Terry Air Inc.,Cessna 402C,3,3,0
4733,17-12-1997,"Fotina, Greece",Aerosweet Airlines (LVOV),Yakovlev YAK-42,70,70,0
4734,19-12-1997,"Near Palembang, Indonesia",SilkAir,Boeing B-737-300,104,104,0
4735,20-12-1997,"Tanagra, Greece",Military - Greek Air Force,Lockheed C-130H Hercules,5,5,0
4736,27-12-1997,"Atlantic Ocean, off Angola",Renan Airways,Antonov An-72,5,5,0
4737,28-12-1997,Over the Pacific Ocean,United Air Lines,Boeing B-747-122,1,393,0
4738,31-12-1997,"Rio Sidra, Panama",Parsa,Britten Norman BN-2A Trislander,10,10,0
4739,09-01-1998,"Maiden, North Carolina",Mountain Air Cargo,Cessna 208B Caravan I,1,1,0
4740,13-01-1998,"Brno, Czech Republic",Aeroservice International,Let 410UVP,2,2,0
4741,13-01-1998,"Tor Kach, Pakistan",Ariana Afghan Airlines,Antonov AN-12BP,51,51,0
4742,27-01-1998,"Yangon (Rangoon), Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,16,45,0
4743,02-02-1998,"Pagalungan, Philippines",Cebu Pacific Air,McDonnell Douglas DC-9-32,104,104,0
4744,03-02-1998,"Near Cavalese, Trento, Italy",Military - U.S. Marine Corps,Grummand EA-6B,0,2,20
4745,04-02-1998,"Terceira, Portugal",Air Luxor,Antonov 12BP,7,7,0
4746,05-02-1998,"Near Navafria, Spain",Military - Spanish Air Force,CASA 212-S1 Aviocar 100,5,5,0
4747,12-02-1998,"Near Nasir, Sudan",Military - Sudan Air Force,Antonov AN-32,27,57,0
4748,16-02-1998,"Taipei, Taiwan",China Airlines (Taiwan),Airbus A300-622R,196,196,7
4749,05-03-1998,"Near Clarksville, Tennesee",Baron Aviation,Cessna 208B Caravan I Super Cargomaster,1,1,0
4750,07-03-1998,"Bismark, North Dakota",Corporate Air,Cessna 208B Caravan I Super Cargomaster,1,1,0
4751,10-03-1998,"Mombasa, Kenya",Air Memphis,Boeing 707-336C,6,6,0
4752,18-03-1998,"Off Hsinchu, Taiwan",Formosa Airlines,Saab340B,13,13,0
4753,19-03-1998,"Near Charasyab, Afghanistan",Ariana Afghan Airlines,Boeing B-727-228,45,45,0
4754,22-03-1998,"Bacolod, Philippines",Philippine Air Lines,Airbus A.320-214,0,127,3
4755,28-03-1998,"Piura, Peru",Fuerza A????rea del Peru,Antonov AN-32,22,55,1
4756,31-03-1998,"Near Mexico City, Mexico",Linea A????rea Mexicana de Carga,Convair CV-240-53,2,4,0
4757,20-04-1998,"Near Bogota, Colombia",Air France,Boeing B-727-230,53,53,0
4758,05-05-1998,"Andoas, Peru",Fuerza A????rea del Peru,Boeing B-737-282,75,88,0
4759,12-05-1998,"Near Nema, Mauritania",Military - Mauritanian Air Force,Xian Yunshuji Y-7-100C,39,42,0
4760,25-05-1998,"Indian Trail, North Carolina",Air Taxi - US Helicopters Inc.,Bell 206L-3,5,5,0
4761,25-05-1998,"Near Longtiang, Laos",Military - Lao People's Liberation Army Air Force,Yakovlev YAK-40,26,26,0
4762,26-05-1998,"Near Erdenet, Mongolia",MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,28,28,0
4763,18-06-1998,"Montreal, Canada",Propair,Swearingen SA-226TC Metroliner II,11,11,0
4764,25-06-1998,"Mt. Waialeale, Hawaii",Air Taxi - Ohana Helicopter Tours,Eurocopter AS-350-BA,6,6,0
4765,13-07-1998,"Off Rasal, United Arab Emirates",ATI Aircompany,Ilyushin 76MD,8,8,0
4766,16-07-1998,"C????rdoba, Argentina",Alas del Sur,Rockwell Sabreliner 60,3,3,0
4767,17-07-1998,"Asmara, Eritrea",Ukraine Aviation Transport Company,Ilyushin II-76,10,10,0
4768,23-07-1998,"Pico de Orizaba, Mexico",Military - Mexican Air Force,Shorts SC-7 Skyvan 3-100,4,4,0
4769,27-07-1998,"Southhampton, England",Plane Sailing,Consolidated PBY-5A Catalina,4,18,0
4770,28-07-1998,"Barcelona, Spain",Swifair,Swearingen SA.227AC Metro III,2,2,0
4771,29-07-1998,"Manacapuru River, Brazil",Selva Taxi Aero,Embraer 110 Bandeirante,5,24,0
4772,30-07-1998,"Kochi, India",Alliance Airlines,Dornier 228-201,6,6,2
4773,30-07-1998,"Near Quiberon, France",Proteus Air / Private,Beechcraft 1900D / Cessna 177,15,15,0
4774,04-08-1998,"Kincolith, British Columbia, Canada",Harbour Air Seaplanes Ltd.,de Havilland Dash-2 Beaver,5,5,0
4775,11-08-1998,"Saurimo, Angola",Alada,Antonov An-12BP,1,13,0
4776,19-08-1998,"Foveaux Strait, New Zealand",Vincent Aviation,Cessna 402C,5,10,0
4777,21-08-1998,"Near Ghorepani, Nepal",Lumbini Airways,de Havilland Canada DHC-6 Twin Otter 300,18,18,0
4778,23-08-1998,"Roseau, Dominica",Air Anguilla,Cessna 402C,11,11,0
4779,24-08-1998,"Manibagi, Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,44,44,0
4780,24-08-1998,"Pretoria, South Africa",Speed Service Couriers,DC-3-65TP,1,2,0
4781,29-08-1998,"Quito, Ecuador",Cubana de Aviacion,Tupolev TU-154M,70,91,10
4782,02-09-1998,"Off Peggy's Cove, Nova Scotia, Canada",Swissair,McDonnell Douglas MD-11,229,229,0
4783,02-09-1998,Angola,Permaviatrans,Antonov AN-26,24,24,0
4784,09-09-1998,"Port Alsworth, Alaska",Rusts Flying Service Inc.,de Havilland Dash-2 float plane,5,5,0
4785,10-09-1998,"Islamabad, Pakistan",Military - Pakistan Air Force,Lockheed C-130B Hercules,5,5,0
4786,14-09-1998,"Mount Cook, New Zealand",Air taxi - Air Safaris Inc.,Cessna 177B Cardinal,3,3,0
4787,25-09-1998,"Near Nador, Morroco",Paukn Air,British Aerospace BAe-146-100,38,38,0
4788,28-09-1998,"Praia, Cape Verde",Cabo Verde Airlines,de Havilland Canada DHC-6 Twin Otter 300,1,22,0
4789,29-09-1998,"Off Mannar, Sri Lanka",Lionair,Antonov AN-24RV,55,55,0
4790,02-10-1998,"Near Canaima, Venezuela",Servivensa,Douglas DC-3C,1,27,0
4791,10-10-1998,"Near Kindu, Congo",Congo Airline,Boeing B-727-30,41,41,0
4792,21-10-1998,"Fortaleza, Brazil",Capital Taxi Aereo,Embraer 120RT Brasilia,3,3,1
4793,21-10-1998,"Yerevan, Armenia",Ararat Avia,Yakovlev YAK-40,0,37,4
4794,25-10-1998,"Rwenzori mountains, Uganda",TanaMana Aviation,Britten-Norman BN-2A-3 Islander,4,11,0
4795,01-11-1998,"Near Quetzaltenango, Guatemala",Living Water Teaching Ministries Charter,Douglas DC-3C,11,18,0
4796,11-11-1998,"Near Krasnoyarsk, Russia",Sakha Airlines,Antonov AN-12,13,13,0
4797,17-11-1998,"Koror, Nepal",Paradise Air,Cessna 207 Skywagon,9,9,0
4798,21-11-1998,"Edgewater, Maryland",Private,Burgess RV-6 experimental,1,1,0
4799,23-11-1998,"Victoria, British Columbia",Regency Express Air,Cessna 208B Caravan I Super Cargomaster,2,2,0
4800,27-11-1998,"King Island, Tasmania",?,?,4,6,0
4801,02-12-1998,"Umpire, Arkansas",Yates Aviation,Cessna 501 Citation I SP,1,1,0
4802,07-12-1998,"Baie-Comeau, Canada",Air Satellite,Britten-Norman Trislander,7,10,0
4803,11-12-1998,"Near Surat Thani, Thailand",Thai Airways,Airbus A-310-204,102,146,0
4804,14-12-1998,"Near Cuito, Angola",Khors Aircompany,Antonov AN-12BP,11,11,0
4805,17-12-1998,"Saurimo, Angola",Zanex,Antonov 12,1,10,0
4806,22-12-1998,"Medell????n, Colombia",SELVA,Antonov 32B,5,5,0
4807,26-12-1998,"Vila Nova, Angola",Transafrik,Lockheed Martin L-100-30 Hercules,14,14,0
4808,02-01-1999,"Near Huambo, Angola",Transafrik - United Nations Charter,Lockheed L-100-30 Hercules,9,9,0
4809,12-01-1999,"Guernsey, Channel Islands, England",Channel Express,Fokker F-27 Friendship 600,2,2,0
4810,13-01-1999,"Geilenkirchen, Germany",Military - German Air National Guard,Boeing KC-135E,4,4,0
4811,13-01-1999,"Mayne Island, British Columbia, Canada",Kelowna Flightcraft Air Charter,Douglas DC-3C,2,2,0
4812,16-01-1999,"Coconut Island, QLD, Australia",Uzu Air,Britten Norman BN-2A-26,3,4,0
4813,17-01-1999,"Jumla, Nepal",Necon Air,Cessna 208 Caravan I,4,12,0
4814,21-01-1999,"Bluefields, Nicaragua",Fuerza A????rea Nicaragua,Antonov AN-26,28,28,0
4815,02-02-1999,"Luanda, Angola",Savannair,Antonov AN-12,14,14,13
4816,03-02-1999,"Hoskins, Papua New Guinea",Airlink,Britten Norman BN-2A Trislander,11,11,0
4817,08-02-1999,"Kinshasa,  Democratic Republic Congo",Air Karibu,Lockheed L-188A Electra,7,7,0
4818,12-02-1999,"Near Bishop, California",Ameriflight,Beechcraft C99,1,1,0
4819,24-02-1999,"Rui'an, China",China Southwest Airlines,Tupolev TU-154,61,61,0
4820,25-02-1999,"Genoa, Italy",Minerva Airlines,Dornier 328-110,4,31,0
4821,07-03-1999,"New Delhi, India",Military - Indian Air Force,Antonov AN-32 Transport,19,19,3
4822,18-03-1999,"Near Tame, Colombia",ALIANSA Colombia,Douglas DC-3C (C-47A-DK),8,8,8
4823,19-03-1999,"Davis Inlet, Newfoundland, Canada",Provincial Airlines,de Havilland Canada DHC-6 Twin Otter 300,1,2,0
4824,07-04-1999,"Near Ceyhan, Turkey",Turkish Airlines (THY),Boeing 737-4Q8,6,6,0
4825,07-04-1999,"Ribeirao Preto, Brazil",Manac???? T????xi A????reo,Learjet 24D,5,5,0
4826,08-04-1999,"Near Malaga, Colombia",Aerotaca,de Havilland Canada DHC-6 Twin Otter 300,5,5,0
4827,15-04-1999,"Shanghi, China",Korean Air,McDonnell Douglas MD-11,3,3,0
4828,08-05-1999,"Off Port Vila, Vanuatu",Vanair,de Havilland Canada DHC-6 Twin Otter 300,7,12,0
4829,24-05-1999,"Kuching, Malaysia",Military - Malaysian Air Force,de Havilland Canada DHC-4A,5,5,0
4830,29-05-1999,"Ol Kiombo, Kenya",Malindi Air Services,Let 410UVP-E,2,2,0
4831,01-06-1999,"Little Rock, Arkansas",American Airlines,McDonnell Douglas MD-82,11,145,0
4832,03-06-1999,"Near Khartoum, Sudan",Military - Sudan Air Force,Antonov 32,50,50,0
4833,09-06-1999,"Juneau, Alaska",Air Taxi - Coastal Helicopters Inc.,Eurocopter AS-350BA,7,7,0
4834,09-06-1999,"Coron, Philippines",Pacific Airways,Britten-Norman BN-2A-21 Islander,1,1,0
4835,17-06-1999,"Goroka, Papua New Guinea",Airlink,Embraer 110P2 Bandeirante,17,17,0
4836,25-06-1999,"Long Haul Lake, Manatoba, Canada",Blue Water Aviation Services,de Havilland Canada DHC-3 Otter,1,2,0
4837,30-06-1999,"Seraing, Belgium",Nightexpress,Beechcraft 99,2,2,0
4838,01-07-1999,"Luzamba, Angola",Savanair,Antonov 12B,1,5,0
4839,02-07-1999,"Sittwe, Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,8,8,0
4840,04-07-1999,"Villavicencio, Colombia",LANC Colombia,Douglas DC-6A,5,18,0
4841,07-07-1999,"Near Kathmandu, Nepal",Lufthansa Cargo Airlines,Boeing 727-243F,5,5,0
4842,09-07-1999,"Toluca , Mexico",Aero Jet Express,Hawker Siddeley HS-125,4,4,0
4843,16-07-1999,"Off Martha's Vineyard, Massachusetts",Private,Piper PA-32-R301 Saratoga II HP,3,3,0
4844,20-07-1999,"Near Bluefields, Nicaragua",La Costena,Cessna 208B Grand Caravan,16,16,0
4845,23-07-1999,"Near Orito, Colombia",Military - U.S. Army,de Havilland Canada DHC-7-102,7,7,0
4846,23-07-1999,"Tokyo, Japan",All Nippon Airways,Boeing B-747,1,517,0
4847,24-07-1999,"Nasevou Village, Fiji",Air Fiji,Embraer 110P1 Bandeirante,17,17,0
4848,31-07-1999,"Marine City, Michigan",Private,Beech King Air 65-A90,10,10,0
4849,07-08-1999,"Santo Antao, Cape Verde Islands",TACV-Cabo Verde Airlines,Dornier 228-201,18,18,0
4850,12-08-1999,"Sept-????les, Canada",Regionnair,Beechcraft 1900D,1,4,0
4851,22-08-1999,"Hong Kong, China",China Airlines (Taiwan),McDonnell Douglas MD-11,3,315,0
4852,24-08-1999,"Hualian, Taiwan",Uni Air,McDonnell Douglas MD-90-30,1,96,0
4853,26-08-1999,"Turtkul, Uzbekistan",Uzbekistan Airways,Yakovlev YAK-40,2,33,0
4854,31-08-1999,"Buenos Aires, Argentina","LAPA, Lineas Aereas Privadas Argentinas",Boeing B-737-204C,64,103,10
4855,01-09-1999,"Mount Meru, Tanzania",Northern Air (Tanzania),Cessna 404 Titan II,12,12,0
4856,03-09-1999,"Glasgow, Scotland",Edinburgh Air Charter,Cessna 404 Titan Ambassador,8,11,0
4857,05-09-1999,"Near Kathmandu, Nepal",Necon Air,Hawker Siddeley HS-748-501 Super 2B,15,15,0
4858,05-09-1999,"Westerly, Rhode Island",Air Taxi - New England Airlines,Piper PA-32-260,3,5,0
4859,14-09-1999,"Bucharest, Romania",Greek Government,Dassault Falcon 900B,7,13,0
4860,14-09-1999,"Girona, Spain",Britannia Airways,Boeing 757-204,1,245,0
4861,14-09-1999,"Belelm, Brazil",Norte Jet T????xi A????reo,Embraer 110 Bandeirante,2,2,0
4862,17-09-1999,"Mt. Hidalgo, Mexico",Military - Mexican Air Force,Lockheed C-130A Hercules,5,5,0
4863,25-09-1999,"Mt. Mauna Loa, Hawaii",Big Island Airlines,Piper PA-31-350 Navajo Chieftain,10,10,0
4864,02-10-1999,"Dhahran, Saudi Arabia",Aramco Associated Company,Bell 214ST helicopter,12,20,0
4865,24-10-1999,"Off Genova, Italy",Avioriprese Jet Executive,Learjet 35A,3,3,0
